B00C2L6MAW,GMYLE(TM) Light Blue PU Leather Slim Folio Magnetic Flip Stand Case Cover with Wake Up Sleep Function for Barnes &amp; Noble Nook HD+ Plus 9 &quot; inches Tablet,4.71428571429
B007EWTZ8U,"Devicewear Dante 360 Degree Rotating Case for Nook Tablet/Nook Color, Pink (DAN-NT-PNK)",4.5
B00CPV9YOU,GMYLE(R) Black 360 Degree Rotating PU leather Folio Stand Case Cover for Nook HD+ Plus 9 inches Barnes &amp; Noble e-book Reader Tablet (Multi Angle- Vertical / Horizontal and Wake up Sleep Function),4.23333333333
B004GIKP1G,rooCASE (Black) Leather Case Cover with 22 Angle Adjustable Stand for Barnes and Noble NOOK Tablet / NOOKcolor Nook Color eBook Reader - MV Series (NOT Compatible with NOOK HD),4.35849056604
B00AAVEUCS,"MoKo(TM) 360 Degree Rotating Cover Case for Barnes &amp; Noble Nook Full HD 7&quot; Inch tablet, Black (with Vertical and Horizontal Stand, and Smart Cover Auto Sleep/Wake Function)--Lifetime Warranty",4.5
B005CXIR46,JAVOedge Cherry Blossom Book Case for the Barnes &amp; Noble Nook Simple Touch Reader / with GlowLight (Twilight Purple) - Latest Generation,5.0
B007WDXIJI,i-BLASON Barnes &amp; Noble Nook Simple Touch and Simple Touch with GlowLight Premium Leather Cover Case with Multi-Angle Stand Handsfree (5 Colors Available) Black,4.8
B007YDAARE,Image&reg; Full Screen Touchable PU Leather Cover Case for Barnes and Noble Nook Tablet Nook Color with Stand Purple,4.6
B00884BPUE,"Barnes &amp; Noble NOOK Simple Touch with GlowLight, Wi-Fi, 2GB, Includes Power Adapter",3.81818181818
B00AFY4U7K,GreatShield Ultra Smooth Clear Screen Protector Film for Barnes &amp; Noble NOOK HD 7&quot; Tablet (3 Pack),4.6
B00BXCN54M,GMYLE(TM) Black Permium PU Leather Slim Flip Microfiber Case Cover for Barnes &amp; Noble Nook Simple Touch ebook Reader with GlowLight (Crazy Horse Pattern),4.2
B004HEJA5G,JAVOedge Tweed Flip Case for Barnes &amp; Noble Nook Color / Nook Tablet,4.8
B0046W2A0Q,Skinomi&reg; TechSkin - Barnes and Noble Nook Color Screen Protector Premium HD Clear Film with Lifetime Replacement Warranty / Ultra High Definition Invisible and Anti-Bubble Crystal Shield - Retail Packaging,4.0
B0030D0EKA,Slim High Quality Durable Nylon Case Custom Made For Barnes &amp; Noble Nook eBook Reader + Includes a 4-Inch eBigvalue Determination Hand Strap + Executive Stylus Pen with Laser Pointer and LED Light,4.5
